,Valor
535,3332.463891741366
536,3374.2372319300976
537,3374.2372319300976
538,3252.2381208505835
539,3252.2381208505835
540,9999999.0
541,2244.416058233595
542,2653.5547700213883
543,2653.5547700213883
544,2825.186458295359
545,2976.5483754006264
546,3018.321715589358
547,3018.321715589358
548,2896.3226045098445
549,2896.3226045098445
550,9999999.0
551,2362.123894888825
552,2771.262606676619
553,2771.262606676619
554,2942.8942949505895
555,3094.256212055857
556,3136.0295522445886
557,3136.0295522445886
558,3014.030441165075
559,3014.030441165075
560,9999999.0
561,2503.217689624926
562,2912.3564014127205
563,2912.3564014127205
564,3083.9880896866907
565,3235.3500067919585
566,3277.1233469806903
567,3277.1233469806903
568,3155.1242359011762
569,3155.1242359011762
570,9999999.0
571,2717.735067724632
572,3126.873779512426
573,3126.873779512426
574,3298.5054677863964
575,3449.867384891664
576,3491.640725080396
577,3491.640725080396
578,3369.641614000882
579,3369.641614000882
580,9999999.0
581,2474.4564863185183
582,2883.5951981063126
583,2883.5951981063126
584,3055.226886380283
585,3206.5888034855507
586,3248.3621436742824
587,3248.3621436742824
588,3126.3630325947684
589,3126.3630325947684
590,9999999.0
591,2127.809473631624
592,2536.948185419418
593,2536.948185419418
594,2708.579873693389
595,2859.9417907986563
596,2901.715130987388
597,2901.715130987388
598,2779.7160199078744
599,2779.7160199078744
600,9999999.0
601,2217.723069515421
602,2683.798041395934
603,2683.798041395934
604,2855.4297296699046
605,3006.791646775172
606,3048.5649869639037
607,3048.5649869639037
608,2887.8827674269387
609,2887.8827674269387
610,9999999.0
611,2832.651306140742
612,3241.790017928536
613,3241.790017928536
614,3413.4217062025064
615,3564.783623307774
616,3606.556963496506
617,3606.556963496506
618,3484.557852416992
619,3484.557852416992
620,9999999.0
621,2405.9123586354062
622,2815.0510704232
623,2815.0510704232
624,2986.682758697171
625,3138.044675802438
626,3179.81801599117
627,3179.81801599117
628,3057.8189049116563
629,3057.8189049116563
630,9999999.0
631,2373.0092931896634
632,2782.1480049774573
633,2782.1480049774573
634,2953.779693251428
635,3105.1416103566953
636,3146.914950545427
637,3146.914950545427
638,3024.9158394659135
639,3024.9158394659135
640,9999999.0
641,2712.787980731785
642,3152.1795503255353
643,3152.1795503255353
644,3323.8112385995055
645,3475.1731557047733
646,3516.946495893505
647,3516.946495893505
648,3382.9476786433024
649,3382.9476786433024
650,9999999.0
651,2153.093128421516
652,2615.0533946663863
653,2615.0533946663863
654,2786.6850829403566
655,2938.0470000456244
656,2979.820340234356
657,2979.820340234356
658,2823.252826333034
659,2823.252826333034
660,9999999.0
661,2217.2126866172384
662,2626.3513984050323
663,2626.3513984050323
664,2797.983086679003
665,2949.3450037842704
666,2991.118343973002
667,2991.118343973002
668,2869.1192328934885
669,2869.1192328934885
670,9999999.0
671,2913.785114814387
672,3322.923826602181
673,3322.923826602181
674,3494.5555148761514
675,3645.917431981419
676,3687.690772170151
677,3687.690772170151
678,3565.691661090637
679,3565.691661090637
680,9999999.0
681,2503.217689624926
682,2912.3564014127205
683,2912.3564014127205
684,3083.9880896866907
685,3235.3500067919585
686,3277.1233469806903
687,3277.1233469806903
688,3155.1242359011762
689,3155.1242359011762
690,9999999.0
691,2800.6274176924458
692,3262.587683937315
693,3262.587683937315
694,3434.2193722112856
695,3585.581289316553
696,3627.3546295052847
697,3627.3546295052847
698,3470.787115603963
699,3470.787115603963
700,9999999.0
701,2593.1046371547973
702,3055.064903399667
703,3055.064903399667
704,3226.6965916736376
705,3378.058508778905
706,3419.8318489676367
707,3419.8318489676367
708,3263.2643350663157
709,3263.2643350663157
710,9999999.0
711,2832.651306140742
712,3241.790017928536
713,3241.790017928536
714,3413.4217062025064
715,3564.783623307774
716,3606.556963496506
717,3606.556963496506
718,3484.557852416992
719,3484.557852416992
720,9999999.0
721,2127.809473631624
722,2536.948185419418
723,2536.948185419418
724,2708.579873693389
725,2859.9417907986563
726,2901.715130987388
727,2901.715130987388
728,2779.7160199078744
729,2779.7160199078744
730,9999999.0
731,2294.7814901577967
732,2703.9202019455906
733,2703.9202019455906
734,2875.5518902195613
735,3026.9138073248287
736,3068.6871475135604
737,3068.6871475135604
738,2946.688036434047
739,2946.688036434047
740,9999999.0
741,2326.0531171666544
742,2788.013383411524
743,2788.013383411524
744,2959.6450716854947
745,3111.006988790762
746,3152.780328979494
747,3152.780328979494
748,2996.212815078172
749,2996.212815078172
750,9999999.0
751,2716.4907590604266
752,3125.629470848221
753,3125.629470848221
754,3297.261159122191
755,3448.623076227459
756,3490.3964164161907
757,3490.3964164161907
758,3368.3973053366767
759,3368.3973053366767
760,9999999.0
761,2113.2930935358963
762,2522.431805323691
763,2522.431805323691
764,2694.0634935976614
765,2845.425410702929
766,2887.198750891661
767,2887.198750891661
768,2765.199639812147
769,2765.199639812147
770,9999999.0
771,2394.3943427660743
772,2856.354609010944
773,2856.354609010944
774,3027.9862972849146
775,3179.348214390182
776,3221.1215545789137
777,3221.1215545789137
778,3064.5540406775917
779,3064.5540406775917
780,9999999.0
781,2067.275537119035
782,2476.41424890683
783,2476.41424890683
784,2648.0459371808
785,2799.407854286068
786,2841.1811944747997
787,2841.1811944747997
788,2719.1820833952856
789,2719.1820833952856
790,9999999.0
791,2512.05419030029
792,2974.014456545159
793,2974.014456545159
794,3145.64614481913
795,3297.008061924397
796,3338.781402113129
797,3338.781402113129
798,3182.213888211808
799,3182.213888211808
800,9999999.0
801,2600.3315745743334
802,3009.470286362128
803,3009.470286362128
804,3181.101974636098
805,3332.463891741366
806,3374.2372319300976
807,3374.2372319300976
808,3252.2381208505835
809,3252.2381208505835
810,9999999.0
811,2800.6274176924458
812,3262.587683937315
813,3262.587683937315
814,3434.2193722112856
815,3585.581289316553
816,3627.3546295052847
817,3627.3546295052847
818,3470.787115603963
819,3470.787115603963
820,9999999.0
821,2244.416058233595
822,2653.5547700213883
823,2653.5547700213883
824,2825.186458295359
825,2976.5483754006264
826,3018.321715589358
827,3018.321715589358
828,2896.3226045098445
829,2896.3226045098445
830,9999999.0
831,2462.7355683654973
832,2924.6958346103675
833,2924.6958346103675
834,3096.3275228843377
835,3247.6894399896055
836,3289.462780178337
837,3289.462780178337
838,3132.8952662770153
839,3132.8952662770153
840,9999999.0
841,2832.651306140742
842,3241.790017928536
843,3241.790017928536
844,3413.4217062025064
845,3564.783623307774
846,3606.556963496506
847,3606.556963496506
848,3484.557852416992
849,3484.557852416992
850,9999999.0
851,2264.416697435142
852,2673.555409222936
853,2673.555409222936
854,2845.1870974969065
855,2996.549014602174
856,3038.3223547909056
857,3038.3223547909056
858,2916.323243711392
859,2916.323243711392
860,9999999.0
861,2513.9522053631454
862,2923.0909171509393
863,2923.0909171509393
864,3094.72260542491
865,3246.0845225301773
866,3287.857862718909
867,3287.857862718909
868,3165.8587516393955
869,3165.8587516393955
870,9999999.0
871,2800.6274176924458
872,3262.587683937315
873,3262.587683937315
874,3434.2193722112856
875,3585.581289316553
876,3627.3546295052847
877,3627.3546295052847
878,3470.787115603963
879,3470.787115603963
880,9999999.0
881,2655.537181664466
882,3117.497447909336
883,3117.497447909336
884,3289.1291361833064
885,3440.491053288574
886,3482.264393477306
887,3482.264393477306
888,3325.696879575984
889,3325.696879575984
890,9999999.0
891,2152.7466592320857
892,2561.88537101988
893,2561.88537101988
894,2733.5170592938507
895,2884.878976399118
896,2926.65231658785
897,2926.65231658785
898,2804.653205508336
899,2804.653205508336
900,9999999.0
901,2671.879247089633
902,3133.839513334503
903,3133.839513334503
904,3305.471201608473
905,3456.833118713741
906,3498.6064589024727
907,3498.6064589024727
908,3342.0389450011508
909,3342.0389450011508
910,9999999.0
911,2078.8242475187926
912,2487.9629593065874
913,2487.9629593065874
914,2659.5946475805576
915,2810.9565646858255
916,2852.729904874557
917,2852.729904874557
918,2730.730793795043
919,2730.730793795043
920,9999999.0
921,2490.5093251683866
922,2899.6480369561805
923,2899.6480369561805
